#[Succeeded /Failed / Skipped / Total] 19 /8 / 3 / 30
#Total time: 639.9663302898407 seconds for 30 samples
original,perturbed,True,Pred_original,Pred_perturbed,success,time,n_positions
"As of that day, the new constitution heralding the Second Republic came into force.",,0,1,-1,False,-1.0,-1
"The most important tributaries in this area are the Ill below of Strasbourg, the Neckar in Mannheim and the Main across from Mainz.","The ‍most important t​ributar‍ies in this area ar‍e the Ill below of Strasbourg, t‍​h‍e Neckar in Mannheim and the Mai‍n acr​oss fro‌m Mainz.",1,1,0,True,27.47366237640381,10
In most provinces a second Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.,In most provinces ​a second B‍ache​lor's Degree su‍ch as‍ a Bachelor ‍of Educ​ati‌on is required to bec​ome a​ qualified teacher.,1,1,0,True,25.825313329696655,10
"The Tayichi'ud enslaved Temüjin (reportedly with a cangue, a sort of portable stocks), but with the help of a sympathetic guard, the father of Chilaun (who later became a general of Genghis Khan), he was able to escape from the ger (yurt) in the middle of the night by hiding in a river crevice.[citation needed]","The Tayi‍chi'ud e​nsla​ved Temüjin (reportedly with a cangue,​ a sort of portabl‍e stocks)​, b‍ut with the help of a sympathetic guard, the father of Chilaun (who later became a general of Genghis Khan), ​he was able to escape from the ger (‌yurt) in the middle​ of the night by hiding in a river crevice.[citation needed]",0,0,1,True,25.58617877960205,10
"He paraphrased the Te Deum as ""Herr Gott, dich loben wir"" with a simplified form of the melody.",,1,0,-1,False,-1.0,-1
"For example, Joseph Haas was arrested for allegedly sending an email to the Lebanon, New Hampshire city councilors stating, ""Wise up or die.""","For e‌xampl​e, Joseph Haa‌s was arr​ested for all​egedly send​ing an email ​to the Leb‌anon, New Hamp‍shire city councilor‌s stating, ""Wise up or die.""",1,1,1,False,14.47153091430664,10
"Founded in 1968 by the union of the Methodist Church (USA) and the Evangelical United Brethren Church, the UMC traces its roots back to the revival movement of John and Charles Wesley in England as well as the Great Awakening in the United States.",,1,0,-1,False,-1.0,-1
Southern California is also important to the world of yachting.,Southe‌rn Cal‌ifo‌rnia ​i​s also i‍‍mportant‌ to the ‍world of yac‌hting.,1,1,1,False,24.9145028591156,10
Temüjin's reputation also became widespread after his escape from the Tayichi'ud.,Temüji​n's ‌reputati‍on​ also be‌‌came ​widespread af‌ter his escape ‌from the T‌ayichi'ud.,1,1,1,False,24.263300895690918,10
"These branch through the mesoglea to the most active parts of the animal: the mouth and pharynx; the roots of the tentacles, if present; all along the underside of each comb row; and four branches round the sensory complex at the far end from the mouth – two of these four branches terminate in anal pores.","These branch through the me​soglea ‌to the mo‌st ‍ac‍tive parts of the animal: the mouth and pharynx; the roots of the tentacles, if pre​sent; all along the un​derside of each‌ comb row; and four branches round the sensory complex a​‌t the far end from the mouth – two of these four branches terminate in anal pores.",0,0,1,True,22.029093980789185,10
