#[Succeeded /Failed / Skipped / Total] 95 /0 / 5 / 100
#Total time: 665.2339723110199 seconds for 100 samples
original,perturbed,True,Pred_original,Pred_perturbed,success,time,n_positions
it 's a charming and often affecting journey . ,it 's a charming and often af󠄂fecting journey . ,1,1,0,True,6.676209449768066,2
unflinchingly bleak and desperate ,unflinchingly b﻿leak and desper󠁺ate ,0,0,1,True,6.213609933853149,2
allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,al‮lows us to hope that nolan is poised to embark a major career as a commercial yet i󠆒nventive filmmaker . ,1,1,0,True,8.843934774398804,2
"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ","the acting , costumes , music , cinematography and sound are all as‍tounding given the production 's austere locales . ",1,1,0,True,4.288422346115112,1
"it 's slow -- very , very slow . ","it 's sl󠄺ow -- very , very sl󠅽ow . ",0,0,1,True,6.924657821655273,2
"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ","although laced with humor and a few fanciful touches , the film is a refre󠅢shingly serious look at young women . ",1,1,0,True,8.803842782974243,2
a sometimes tedious film . ,a sometimes te︊dious film . ,0,0,1,True,3.281064510345459,1
or doing last year 's taxes with your ex-wife . ,or doing last year 's ta󠅋xes with y︊our ex-wife . ,0,0,1,True,7.113236665725708,2
you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,you do n't have to know about music to ap⁠preciate the film 's eas‏ygoing bl󠄜end of comedy and romance . ,1,1,0,True,13.08074164390564,3
"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","in exactly 89 m󠅠inutes , most of which passed a󠅾s slowly as if i 'd been sitting naked on an igloo , formula 51 san󠅅k from quirky to je​rky to u󠆾tter tur︉key . ",0,0,1,True,31.29433560371399,6
the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,the me󠄩smerizing performances of the leads keep the film grounded and keep the audience riveted . ,1,1,0,True,17.563787698745728,4
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of lazine︊ss to wa︎ste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0,0,1,True,10.670271635055542,2
... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,... the film su󠆟ffers from a lac󠆒k of humor ( something ne󠆠eded to balance out the violence ) ... ,0,0,1,True,12.308007001876831,3
"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ","we root for ( clara and paul ) , even like them , thou‎gh perhaps it 's an emotion closer to pity . ",1,1,0,True,4.107972145080566,1
even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lac‮ks both thrills and humor . ,0,0,1,True,4.21082329750061,1
"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","a gorg󠁫eous , high-spirited musical from india that exq‮ui‮sitely bl󠀜ends music , dan‬ce , song , an‮d h󠄜igh drama . ",1,1,0,True,49.22507643699646,10
