original,perturbed,True,Pred_original,Pred_perturbed,success,time,n_positions
it 's a charming and often affecting journey . ,󠁑󠄯󠁇󠆵󠆭it 's a charming and often affecting journey . ,1,1,1,False,4.0606889724731445,5
unflinchingly bleak and desperate ,󠅮󠁾󠄨󠆎un⁩flinchingly bleak and desperate ,0,0,0,False,3.0511386394500732,5
allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,a󠁰llows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,1,1,0,True,1.491640329360962,1
"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ","t󠆎he acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ",1,1,0,True,1.766327142715454,1
"it 's slow -- very , very slow . ","󠀥󠄿󠁙󠀥󠀯it 's slow -- very , very slow . ",0,0,0,False,3.412104606628418,5
"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ","󠀿although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ",1,1,0,True,1.6222076416015625,1
a sometimes tedious film . ,a︂ sometimes tedious film . ,0,0,1,True,0.4431891441345215,1
or doing last year 's taxes with your ex-wife . ,o󠄃󠆁r doing last year 's taxes with your ex-wife . ,0,0,1,True,1.4709744453430176,2
you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,󠀵󠀄︊󠀒󠅥you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,1,1,1,False,8.429734706878662,5
"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","󠇏󠅤󠆙i󠆀󠁫n exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0,0,0,False,14.92340350151062,5
the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,󠁫󠇗󠄑󠆟󠇒the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,1,1,1,False,7.70121693611145,5
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","󠁅󠇂󠀋󠁗i󠅯t takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0,0,0,False,15.364940643310547,5
... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,︍.󠆑󠆀󠆫.󠅘. the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,0,0,0,False,7.692107439041138,5
"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ","󠄴we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",1,1,0,True,1.4966328144073486,1
even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,ev󠆢en horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,0,0,1,True,2.0310826301574707,1
"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","a󠇤󠇍󠆑󠀬󠅛 gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ",1,1,1,False,9.443970680236816,5
the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,󠆓󠁖︋󠅞t󠇞he emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,1,1,1,False,7.22310996055603,5
"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ","︀󠇋󠄟󠅬⁠audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ",1,1,1,False,18.079674243927002,5
... the movie is just a plain old monster . ,︉󠀟󠄧.󠁚󠁛.. the movie is just a plain old monster . ,0,0,0,False,4.055653810501099,5
"in its best moments , resembles a bad high school production of grease , without benefit of song . ","󠆜󠁵󠅁󠅼󠁲in its best moments , resembles a bad high school production of grease , without benefit of song . ",0,0,0,False,7.946798324584961,5
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ","pu󠅈mpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ",0,0,1,True,3.0437352657318115,1
the iditarod lasts for days - this just felt like it did . ,,0,1,-1,False,-1.0,-1
holden caulfield did it better . ,,0,1,-1,False,-1.0,-1
"a delectable and intriguing thriller filled with surprises , read my lips is an original . ","a󠁈󠆌󠅥󠄬 󠆣delectable and intriguing thriller filled with surprises , read my lips is an original . ",1,1,1,False,7.423010349273682,5
seldom has a movie so closely matched the spirit of a man and his work . ,︌s󠅚󠆌󠄳󠆍eldom has a movie so closely matched the spirit of a man and his work . ,1,1,1,False,6.018028974533081,5
"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ","󠆼‍󠆇n︉i󠄐cks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ",0,0,0,False,13.956934690475464,5
"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ","󠁷󠁉󠁁󠄁󠇒the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ",0,0,0,False,15.396541357040405,5
it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . ,󠅜󠀺󠆜︌󠆻it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . ,1,1,1,False,11.160310745239258,5
"it 's a cookie-cutter movie , a cut-and-paste job . ","󠆇⁨󠁸󠀪i󠄪t 's a cookie-cutter movie , a cut-and-paste job . ",0,0,0,False,5.091221332550049,5
i had to look away - this was god awful . ,󠄋i 󠅑had to look away - this was god awful . ,0,0,1,True,1.327505111694336,2
"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ","󠅙󠁊󠇠󠇦t󠄻hanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ",1,1,1,False,14.466364622116089,5
"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ","󠄦󠀄󠅪󠆤.󠄶.. designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ",0,0,0,False,13.05235743522644,5
"a gorgeous , witty , seductive movie . ","󠄼󠀽󠅠󠁦a󠄁 gorgeous , witty , seductive movie . ",1,1,1,False,3.6379880905151367,5
"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ","󠁇if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ",0,0,1,True,2.6437320709228516,1
"it does n't believe in itself , it has no sense of humor ... it 's just plain bored . ","󠀬i󠆘󠇔󠅝t󠆩 does n't believe in itself , it has no sense of humor ... it 's just plain bored . ",0,0,0,False,7.141434192657471,5
a sequence of ridiculous shoot - 'em - up scenes . ,a󠁟 sequence of ridiculous shoot - 'em - up scenes . ,0,0,1,True,0.7426643371582031,1
"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ","󠅑󠀚︃󠄂t󠁭he weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ",1,1,1,False,14.983539342880249,5
