original,perturbed,True,Pred_original,Pred_perturbed,success,time,n_positions
it 's a charming and often affecting journey . ,it 's a charming and often af󠄂fecting journey . ,1,1,0,True,2.2549636363983154,2
unflinchingly bleak and desperate ,unflinchingly b﻿leak and desper󠁺ate ,0,0,1,True,1.858283281326294,2
allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,al‮lows us to hope that nolan is poised to embark a major career as a commercial yet i󠆒nventive filmmaker . ,1,1,0,True,2.9532527923583984,2
"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ","the acting , costumes , music , cinematography and sound are all as‍tounding given the production 's austere locales . ",1,1,0,True,1.4985203742980957,1
"it 's slow -- very , very slow . ","it 's sl󠄺ow -- very , very sl󠅽ow . ",0,0,1,True,2.0681281089782715,2
"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ","although laced with humor and a few fanciful touches , the film is a refre󠅢shingly serious look at young women . ",1,1,0,True,3.147566080093384,2
a sometimes tedious film . ,a sometimes te︊dious film . ,0,0,1,True,0.9495797157287598,1
or doing last year 's taxes with your ex-wife . ,or doing last year 's ta󠅋xes with y︊our ex-wife . ,0,0,1,True,2.228872060775757,2
you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,you do n't have to know about music to ap⁠preciate the film 's eas‏ygoing bl󠄜end of comedy and romance . ,1,1,0,True,4.765615940093994,3
"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","in exactly 89 m󠅠inutes , most of which passed a󠅾s slowly as if i 'd been sitting naked on an igloo , formula 51 san󠅅k from quirky to je​rky to u󠆾tter turkey . ",0,0,0,False,11.113989353179932,5
the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,the me󠄩smerizing performances of the leads keep the film grounded and keep the audience riveted . ,1,1,0,True,5.899381875991821,4
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of lazine︊ss to wa︎ste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0,0,1,True,4.21280837059021,2
... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,... the film su󠆟ffers from a lac󠆒k of humor ( something ne󠆠eded to balance out the violence ) ... ,0,0,1,True,4.516526699066162,3
"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ","we root for ( clara and paul ) , even like them , thou‎gh perhaps it 's an emotion closer to pity . ",1,1,0,True,1.588179349899292,1
even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lac‮ks both thrills and humor . ,0,0,1,True,1.5538740158081055,1
"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","a gorg󠁫eous , high-spirited musical from india that exq‮uisitely bl󠀜ends music , dance , song , and high drama . ",1,1,1,False,8.951473951339722,5
the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,the emotions are raw and will s‫trike a nerve with anyone who 's ever had family trauma . ,1,1,0,True,1.3001348972320557,1
"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ","audrey tatou has a knac⁧k for picking roles that magnify her outrageous charm , and in this lite⁩rate french comedy , she 's as morning-glory exub󠄾erant as she was in amélie . ",1,1,0,True,9.366486310958862,4
... the movie is just a plain old monster . ,... the movie is jus‌t a plain old monst​er . ,0,0,1,True,2.044142007827759,2
"in its best moments , resembles a bad high school production of grease , without benefit of song . ","in its best moments , resembles a b󠆖ad high school production of grease , wit󠀣hout benefit of song . ",0,0,1,True,2.786938428878784,2
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ","pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an unev󠅋en tone that you never know when humor ends and tragedy begins . ",0,0,1,True,1.8712475299835205,1
the iditarod lasts for days - this just felt like it did . ,,0,1,-1,False,-1.0,-1
holden caulfield did it better . ,,0,1,-1,False,-1.0,-1
"a delectable and intriguing thriller filled with surprises , read my lips is an original . ","a delec󠄇table and in󠇜triguing thriller filled with surprises , read my lips is an original . ",1,1,0,True,4.396306276321411,3
seldom has a movie so closely matched the spirit of a man and his work . ,seldom has a movie so c⁠lose󠄄ly matched the spirit of a man and his work . ,1,1,0,True,3.9366812705993652,3
"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ","nicks , seemingly uncer️tain what 's going to make people laugh , runs the gamut from stal󠀜e parody to raunchy sex gags to formula romantic comedy . ",0,0,1,True,3.8233468532562256,2
"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ","the action switches between past and present , but the material link is to󠁾o te‌nuous to ancho︋r the emotional connections that purport to span a 125-year divide . ",0,0,1,True,5.71838641166687,3
it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . ,it 's an offbeat treat that pokes fun at the democratic exercise wh󠄮ile also ex‍amining its significance for those who take part . ,1,1,0,True,4.999939918518066,3
"it 's a cookie-cutter movie , a cut-and-paste job . ","it 's a cook️ie-cutter movie , a cut-and-pas󠆯te job . ",0,0,1,True,2.728382110595703,2
i had to look away - this was god awful . ,i ha⁨d to look away - this was god aw󠀨ful . ,0,0,1,True,2.3540828227996826,2
"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ","tha︍nks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the mos󠄙t comp‍elling variations on in the company of men . ",1,1,1,False,10.810395240783691,5
"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ","... designed to provide a mix of smiles and tears , `` crossroads '' i󠆒nstead provokes a handful of unintentional howlers and numerous y‌awns . ",0,0,1,True,3.5485715866088867,2
"a gorgeous , witty , seductive movie . ","a gorg󠄦eou󠀂s , w󠀮itty , seductive movie . ",1,1,0,True,4.8795599937438965,4
"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ","if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far t‮oo self-conscious to draw you deeply into its world . ",0,0,1,True,1.9050352573394775,1
"it does n't believe in itself , it has no sense of humor ... it 's just plain bored . ","it does n't believe in itself , it has n󠆥o sense of humor ... it 's just plain bo󠀖red . ",0,0,1,True,4.75355339050293,3
a sequence of ridiculous shoot - 'em - up scenes . ,a sequence of ridi󠅠culous shoot - 'em - up scenes . ,0,0,1,True,1.0991969108581543,1
"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ","the weight of the piece , the une︎rring professionalism of the chilly production , and the fascination embedded in the lurid topic prove reco󠆏mmendation enough . ",1,1,0,True,3.7122106552124023,2
"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ","( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is s󠁵hort on the thrills the oversize medium demands . ",0,0,1,True,1.8821308612823486,1
"as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . ","as surreal as a dream and as det󠄜ailed as a photograph , as visually de‮xterous as it is at times imaginatively over‭whelming . ",1,1,0,True,5.112020015716553,3
"escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . ","escaping the studio , piccoli is wa️rmly a󠁖ffecting and so is this ad󠀜roitly minimalist movie . ",1,1,0,True,4.6006388664245605,3
"there 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate . ","there 's ... treme󠄾ndous energy from the cast , a sense of playfulness and excitement that seems appropriate . ",1,1,0,True,4.636778354644775,3
"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath . ","this ill⁠uminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath . ",1,1,0,True,3.140690326690674,2
the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation . ,the subtle strength of `` elling '' is that it neve‌r loses touch with the reality of the grim situation . ,1,1,0,True,1.4121887683868408,1
holm ... embodies the character with an effortlessly regal charisma . ,holm ... emb⁦odies the character with an effo󠄦rtlessly regal charisma . ,1,1,0,True,2.3536813259124756,2
"the title not only describes its main characters , but the lazy people behind the camera as well . ","the title not only describes its main characters , but the la󠅅zy people behind the camera as well . ",0,0,1,True,1.29085111618042,1
