original,perturbed,True,Pred_original,Pred_perturbed,success,time,n_positions
Everyone really likes the newest benefits ,Ever︉yone really li⁧kes the newest benefits ,1,1,0,True,8.067793369293213,2
The Government Executive articles housed on the website are not able to be searched.,,2,0,-1,False,-1.0,-1
"I like him for the most part, but would still enjoy seeing someone beat him.",,0,2,-1,False,-1.0,-1
My favorite restaurants are always at least a hundred miles away from my house. ,,2,0,-1,False,-1.0,-1
I know exactly.,,2,0,-1,False,-1.0,-1
We have plenty of space in the landfill.,,2,0,-1,False,-1.0,-1
I did that all through college but it never worked ,,2,0,-1,False,-1.0,-1
Most of Mrinal Sen's work can be found in European collections.,Most of Mri󠁃nal Sen's work can be︈ found in Eu󠁖ropean col󠆒lections.,1,1,0,True,31.230990409851074,4
THe strike price could be $8.,,2,0,-1,False,-1.0,-1
Would you rise up and defeaat all evil lords in the town?,Would you rise u󠀯p and defeaat al⁠l evil lords in the town?,1,1,0,True,11.255250692367554,2
"Go downwards to one of the gates, all of which will lead you into the cathedral.",,2,0,-1,False,-1.0,-1
The Tamils' bhakti movement froze the previously warm ritual of Hinduism.,,2,0,-1,False,-1.0,-1
Everyone involved was the same age.,,2,0,-1,False,-1.0,-1
Severn said the people were not welcome there.,,0,2,-1,False,-1.0,-1
We don't loan a lot of money.,,1,0,-1,False,-1.0,-1
I don't know how cold it got last night.,,0,1,-1,False,-1.0,-1
I need a way to add something extra.,,0,2,-1,False,-1.0,-1
Sometimes it is amusing to see what the hologram creates.,,0,2,-1,False,-1.0,-1
Gross national saving was highest this year.,Gross national saving was highes‍t this year.,1,1,0,True,3.271355628967285,1
The amount of lost mail is huge and really impacts mail volume,,2,0,-1,False,-1.0,-1
