original,perturbed,True,Pred_original,Pred_perturbed,success,time,n_positions
"As of that day, the new constitution heralding the Second Republic came into force.",,0,1,-1,False,-1.0,-1
"The most important tributaries in this area are the Ill below of Strasbourg, the Neckar in Mannheim and the Main across from Mainz.","The mos︉t important tributa󠀉ries in this area are the Ill below of Strasbourg, the Neckar in Mannheim and the Main across from Mainz.",1,1,0,True,4.37307596206665,2
In most provinces a second Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.,In most provinces a seco󠅢nd Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.,1,1,0,True,1.7965428829193115,1
"The Tayichi'ud enslaved Temüjin (reportedly with a cangue, a sort of portable stocks), but with the help of a sympathetic guard, the father of Chilaun (who later became a general of Genghis Khan), he was able to escape from the ger (yurt) in the middle of the night by hiding in a river crevice.[citation needed]","The Tayichi'u󠆈d ensl‌aved Temüj‏in (reportedly with a can󠅜gue, a sort of portab‬le stocks), but with the help of a sympathetic guard, the father of Chilaun (who later became a general of Genghis Khan), he was able to escape from the ger (yurt) in the middle of the night by hiding in a river crevice.[citation needed]",0,0,1,True,22.06348466873169,5
"He paraphrased the Te Deum as ""Herr Gott, dich loben wir"" with a simplified form of the melody.",,1,0,-1,False,-1.0,-1
"For example, Joseph Haas was arrested for allegedly sending an email to the Lebanon, New Hampshire city councilors stating, ""Wise up or die.""","For example‮, Joseph󠅙 Haas was arrested for allegedly sending an email to the Lebanon, New Hampshir‌e city councilors stating, ""Wise up or die.""",1,1,1,False,11.236540794372559,5
"Founded in 1968 by the union of the Methodist Church (USA) and the Evangelical United Brethren Church, the UMC traces its roots back to the revival movement of John and Charles Wesley in England as well as the Great Awakening in the United States.",,1,0,-1,False,-1.0,-1
Southern California is also important to the world of yachting.,Southern California 󠆟is als󠆩o importan‪t to the world 󠆽of ‫yachting.,1,1,1,False,9.010674953460693,5
Temüjin's reputation also became widespread after his escape from the Tayichi'ud.,Temüjin's reputation also became wide󠄵spread after h󠀘is escap‌e from th﻿e Tayichi'ud.,1,1,1,False,10.173198223114014,5
"These branch through the mesoglea to the most active parts of the animal: the mouth and pharynx; the roots of the tentacles, if present; all along the underside of each comb row; and four branches round the sensory complex at the far end from the mouth – two of these four branches terminate in anal pores.","The󠁫se branch through the mesoglea to the most active parts of the animal: the mout󠆒h and pharynx; the roots of the tentacles, if present; all along the underside of each comb row; and four branches round the sensory complex at the far end from the mouth – two of these four branches terminate in an󠁖al pores.",0,0,0,False,19.80434536933899,5
"Brownlee argues, ""Bringing in deterrence at the level of justification detracts from the law’s engagement in a moral dialogue with the offender as a rational person because it focuses attention on the threat of punishment and not the moral reasons to follow this law.""","Brownlee argues, ""Bringing in deterrence at the level of justification detracts from the law’s engagement in a moral dialogue with the offe‏nder as a rational person because it focuses attention on the threat of punishment and not󠅻 the moral reasons ‎to︍ follow this law.""",1,1,1,False,16.961315393447876,5
"The Scotland Act 1998, which was passed by the Parliament of the United Kingdom and given royal assent by Queen Elizabeth II on 19 November 1998, governs the functions and role of the Scottish Parliament and delimits its legislative competence.","The Scot󠆷land Act 1998, which was passed by the Parliament of the United Kingdom and given royal assent by Queen Elizabeth II on 19 November 199󠆜8, governs the functions and role of the Scottish Parliament and delimits its legislative competence.",0,0,0,False,15.258336305618286,5
Hypersensitivity is an immune response that damages the body's own tissues.,Hypers‍ens󠅤itivity is an immune response that da󠅾mages the body's own tissu󠁫es.,0,0,0,False,10.01499629020691,5
the Polish government-in-exile in London gave orders to the underground Home Army (AK) to try to seize control of Warsaw from the Germans before the Red Army arrived.,the Polish government-in-exile in London gave orders to the underground Home Army (AK) to try to seize control󠆽 of Warsaw from the Germans be󠄐fore the Red Arm​y arrived󠁴.,1,1,1,False,12.21953821182251,5
The theater was built in 1939 and is at Olive and Wishon Avenues in the heart of the Tower District.,The theater was built in 1939 and󠅋 is at Olive and Wishon Ave󠄴nues in the heart of 󠆃the T󠅋ower District.󠆃,1,1,1,False,10.3540620803833,5
"The largest and southern main branch begins as Waal and continues as Boven Merwede (""Upper Merwede""), Beneden Merwede (""Lower Merwede""), Noord River (""North River""), Nieuwe Maas (""New Meuse""), Het Scheur (""the Rip"") and Nieuwe Waterweg (""New Waterway"").","The largest and southern main branch begins as W󠆒aal and continues as Bove​n Merwede (""Upper Merwe️de""), Beneden Merwede (""Lower Merwede""), Noord River (""North River""), Nieuwe Maas (""Ne󠄢​w Meuse""), Het Scheur (""the Rip"") and Nieuwe Waterweg (""New Waterway"").",0,0,0,False,20.081197261810303,5
"Other institutions for higher education include the Medical University of Warsaw, the largest medical school in Poland and one of the most prestigious, the National Defence University, highest military academic institution in Poland, the Fryderyk Chopin University of Music the oldest and largest music school in Poland, and one of the largest in Europe, the Warsaw School of Economics, the oldest and most renowned economic university in the country, and the Warsaw University of Life Sciences the largest agricultural university founded in 1818.","Other institutions for higher education include the Medical University of Warsaw, the largest medical school in Poland and one of the most prestigious, the National Defence University, highest military academic institution in Poland, the Fryderyk Chopin University of Music the oldest and largest music school in Poland, and one of the largest in Europe, the Warsaw School of Economics, the oldest and most renowned economic university in the country, and the War󠅄saw University of Life Sciences the lar󠆒gest agricultural university founded in 1818.",0,0,0,False,27.685529470443726,5
"More than 50% of this area is sown for wheat, 33% for barley and 7% for oats.","More than 50% of this area is sown for wheat, 33% for barley and 7% for oats.",0,0,1,True,3.3554184436798096,2
"He lit electric lamps wirelessly at both locations, demonstrating the potential of wireless power transmission.","He l󠅜it electric la⁨mps wireles󠁗sly at both locations, demons︂trating the potential of wireless power transmission.",0,0,1,True,7.941317558288574,4
This World's Fair devoted a building to electrical exhibits.,This Wor󠁑ld's Fair︉ devote﻿d a bu﻿ilding to electrical exhibits.︉,1,1,0,True,8.184231996536255,5
