#[Succeeded /Failed / Skipped / Total] 81 /3 / 16 / 100
#Total time: 61.65988826751709 seconds for 100 samples
original,perturbed,True,Pred_original,Pred_perturbed,success,time,n_positions
Everyone really likes the newest benefits ,Nobody really likes the newest benefits ,1,1,0,True,11.011537790298462,-1
The Government Executive articles housed on the website are not able to be searched.,The Government Executive articles housed on the website are not incompetent to be searched.,0,0,1,True,0.30838441848754883,-1
"I like him for the most part, but would still enjoy seeing someone beat him.","I like him for the most portion, but would still relishing seeing someone beat him.",2,2,1,True,0.49838876724243164,-1
My favorite restaurants are always at least a hundred miles away from my house. ,My favorite restaurants are always at least a hundred kms apart from my house. ,0,0,1,True,0.3956174850463867,-1
I know exactly.,I appreciate loyally.,0,0,1,True,1.0074224472045898,-1
We have plenty of space in the landfill.,We be suffice of space in the landfill.,0,0,2,True,0.4143080711364746,-1
I did that all through college but it never worked ,I did that all through college but it never trabajo ,0,0,1,True,0.4611823558807373,-1
Most of Mrinal Sen's work can be found in European collections.,More of Mrinal Sen's work can be found in European collection.,1,1,2,True,0.31528639793395996,-1
THe strike price could be $8.,THe hits price could be $8.,0,0,1,True,0.35882091522216797,-1
Would you rise up and defeaat all evil lords in the town?,Would you rise up and defeaat all evil goddesses in the town?,1,1,0,True,0.381450891494751,-1
"Go downwards to one of the gates, all of which will lead you into the cathedral.","Go upwards to one of the gates, all of which will lead you into the cathedral.",0,0,2,True,0.4408833980560303,-1
The Tamils' bhakti movement froze the previously warm ritual of Hinduism.,The Tamils' bhakti movement icy the previously warm ritual of Hinduism.,0,0,2,True,0.4645075798034668,-1
Everyone involved was the same age.,Somebody involved was the same age.,0,0,1,True,0.38477325439453125,-1
Severn said the people were not welcome there.,Severn said the people were not hospitable there.,2,2,1,True,0.15553498268127441,-1
We don't loan a lot of money.,,1,0,-1,False,-1.0,-1
I don't know how cold it got last night.,,2,1,-1,False,-1.0,-1
I need a way to add something extra.,I need a modo to add something extra.,2,2,1,True,0.4404892921447754,-1
Sometimes it is amusing to see what the hologram creates.,Popularly it is amusing to see what the hologram creates.,2,2,1,True,0.4086911678314209,-1
Gross national saving was highest this year.,Insolent national saving was longest this year.,1,1,0,True,0.5773084163665771,-1
The amount of lost mail is huge and really impacts mail volume,The amount of wastage mail is important and really effect mail volume,0,0,1,True,0.9575812816619873,-1
"You don't want to push the button lightly, but rather punch it hard.",,1,2,-1,False,-1.0,-1
It has a buffet.,It has a cupboard.,2,2,0,True,0.14827275276184082,-1
Clinton said that Monica Lewinsky made unwanted sexual advances during her time as a journalist in the White House. ,Clinton said that Monica Watergate made unwanted sexual advances during her time as a journalist in the White House. ,1,1,0,True,0.18043971061706543,-1
Leading organizations want to be sure their employees are safe.,Leading organizations want to be sure their staffing are safe.,1,1,0,True,0.39032459259033203,-1
"No, they wouldn't go there.","No, they wouldn't gonna there.",1,1,2,True,0.23726844787597656,-1
This is how things are and there are no apologies about it.,,0,1,-1,False,-1.0,-1
Pope John Paul II also visited in 1983.,Ink Tsun Paul SEGUNDO also surfed in 1983.,1,1,1,False,1.1165666580200195,-1
Tourism is not very big in Spain.,Commuter is not very big in Spain.,0,0,1,True,0.5016448497772217,-1
She had changed a lot since the last time we'd seen her.,She possesses changed a batches since the former duration we'd perceived her.,1,1,2,True,1.6463940143585205,-1
I cannot wait for it to happen.,I cannot waiting for it to happen.,1,1,0,True,0.24829411506652832,-1
The 1931 Malay census was an alarm bell.,The 1931 Penang census was an alarm bell.,2,2,0,True,0.3179636001586914,-1
Many youth are lazy.,Many jeune are shiftless.,2,2,1,True,0.5055656433105469,-1
Interest rates should increase to increase saving.,Interest rate should improve to increase saving.,0,0,1,True,0.8643815517425537,-1
There is a British publication called the Sun.,There is a British publication called the Soleil.,2,2,0,True,0.2091822624206543,-1
He loved how peaceful the village was.,He sweetheart how peaceful the chuen was.,2,2,1,True,0.5355191230773926,-1
The slopes between the Vosges and Rhine Valley are the only place appropriate for vineyards.,The slopes between the Vosges and Rhine Valley are the only place appropriate for bodega.,1,1,0,True,0.3935661315917969,-1
These deviations mostly involve failure to apply software updates in a timely manner.,This feuds mostly engaging default to imposed software refreshing in a readily forms.,1,1,0,True,2.691279172897339,-1
"Joan of Arc sacrificed her life at Rouen, which became an enduring symbol of opposition to tyranny.","Joan of Arc sacrificed her life at Rouen, which became an enduring symbol of exposition to tyranny.",2,2,0,True,0.3689110279083252,-1
Senior Executive's have been studies on various aspects to reach the expectations.,,2,1,-1,False,-1.0,-1
It's impossible to have a plate hand-painted to your own design in Hong Kong.,It's unmanageable to have a plate hand-painted to your own design in Hong Kong.,0,0,1,True,0.30917811393737793,-1
Jewelry and duty-free shops are an interesting place to buy goods.,Jewelry and duty-free shop are an creditable place to buy goods.,1,1,2,True,0.8496191501617432,-1
Jobs never held onto an idea for long.,,0,2,-1,False,-1.0,-1
Democracies probably won't go to war unless someone attacks them on their soil,,2,1,-1,False,-1.0,-1
"There is no information on the mentality of the man, extraordinary or not, contained within the thin-paged book. ","There is no specifics on the psychotropic of the blokes, sumptuous or not, described within the thin-paged literature. ",0,0,1,True,1.6372392177581787,-1
The military didn't pay for her education.,The military didn't gratuity for her schooling.,0,0,2,True,0.9962713718414307,-1
These men filed their midterm exams from home. ,,0,1,-1,False,-1.0,-1
Not many couples with kids can save up for retirement.,None many couples with toddlers can save up for retirement.,2,2,1,True,0.5488245487213135,-1
"They dodged the draft, I'll have you know.","They elude the draft, I'll have you know.",2,2,1,True,0.42003893852233887,-1
Lincoln took his hat off.,Lincoln brought his hat off.,2,2,0,True,0.5386712551116943,-1
The stock market can experience much worse damage. ,The stock market can experience much grandest damage. ,2,2,0,True,0.35152697563171387,-1
Missouri was happy to continue it's planning efforts. ,Missouri was welcome to continue it's planning efforts. ,1,1,2,True,0.27776670455932617,-1
He had recently seen pictures depicting those things.,He gets recently seen pictures depicting those things.,0,0,1,True,0.4168083667755127,-1
"See, there is a well known hero here.","See, there is a well renamed hero here.",2,2,1,True,0.3063774108886719,-1
At the end of the fourth century was when baked goods flourished.,At the end of the fourth century was when baked goods prospered.,1,1,0,True,0.27916598320007324,-1
No one plays sports on the weekend.,No one gaming weightlifting on the weekend.,0,0,1,True,0.4618856906890869,-1
Harlem did a great job ,Harlem had a noteworthy worksite ,1,1,2,True,1.1138017177581787,-1
The cushion will likely be spent in under two years.,,2,1,-1,False,-1.0,-1
I am beyond proud.,I am beyond ravi.,0,0,2,True,0.14459776878356934,-1
She has chose to live a hollow life.,She has chose to vivre a hollow life.,0,0,2,True,0.45665454864501953,-1
"All invasions of privacy should be severely punished, because it will teach the criminals that it is not worth doing.","All stormed of privacy stipulated be severely convicts, because it going teach the criminals that it is not worth doing.",1,1,0,True,1.4632346630096436,-1
The medicine he had taken had worked well.,Both treatment he had having been functioned well.,1,1,2,True,1.8624606132507324,-1
New people chose to donate to the cause ,Novel people chose to donate to the cause ,2,2,1,True,0.234513521194458,-1
Business intelligence industry is a new and promising field of study.,Business spies industry is a nueva and undertaking zoning of study.,1,1,0,True,1.1354501247406006,-1
The gross cost.,The unmistakable cost.,0,0,1,True,0.23755764961242676,-1
Jim Lehrer has no credibility whatsoever.,Jamie Lehrer had no certainty whichever.,0,0,0,False,0.5604093074798584,-1
Tuppence floated into the air.,,1,2,-1,False,-1.0,-1
Jamus looked over the mare.,Jamus looked over the racehorse.,2,2,1,True,0.15390801429748535,-1
There's nothing worth seeing in the tourist offices.,There's nothing worth staring in the commuters offices.,0,0,1,True,0.9259073734283447,-1
Changes were made to the Grant Renewal Application to provide extra information to the LSC.,Changes were made to the Grant Renewal Application to provide extra reporting to the LSC.,2,2,1,True,0.400801420211792,-1
This building job will be very difficult to complete.,,2,1,-1,False,-1.0,-1
Poirot did not look at me.,Poirot did not believe at me.,0,0,1,True,0.5342843532562256,-1
"I want you to follow him, so watch for the signal that I give.",,2,1,-1,False,-1.0,-1
 Cook's American Business Alliance caused shares of stock to come back.,,0,2,-1,False,-1.0,-1
I was dreadfully worried about many things. ,I was dreadfully worried about much things. ,0,0,1,True,0.432523250579834,-1
I yelled at the top of my lungs.,I shivered at the haut of my lungs.,0,0,1,True,0.854088306427002,-1
"Women's bodies belong to themselves, they should decide what to do with it. ",,1,0,-1,False,-1.0,-1
You can sub it even if you do not want to get your hands on it.,Thyself can sub it even if you get not does to learn your hand on it.,2,2,2,False,1.5021445751190186,-1
What was unique?,,1,2,-1,False,-1.0,-1
I know because I learned it growing up,I knew because I learned it growing up,0,0,1,True,0.5924723148345947,-1
Whole life policies are a type of life insurance that only cover the insured person until retirement from the workforce.,Whole life policies are a type of life insurance that only includes the insured person until retirement from the workforce.,0,0,1,True,0.5564515590667725,-1
Justice Kennedy doesn't care if the Supreme Court Reporters from 1790 to 1998 are thrown away.,,2,1,-1,False,-1.0,-1
The whole countryside is scattered with small villages. ,The whole countryside is dispensed with small villages. ,2,2,0,True,0.32521724700927734,-1
I just can't make the time because of my job.,I just can't make the time because of my employing.,1,1,0,True,0.2986631393432617,-1
The weird thing is that Iraq was never interested in that place until now.,The weird thing is that Iraq was never apprehensive in that place until now.,0,0,1,True,0.17383408546447754,-1
The final rule had a federalism assessment that was added through executive order by the President.,The final rule had a federalism assessment that was added through administers order by the Wheelchair.,1,1,0,True,0.7318904399871826,-1
"Prototyping is not important, testing with the actual finished product is better.","Prototyping is not significant, verifies with the substantive achieved proceeds is better.",0,0,1,True,1.6385743618011475,-1
France was ruled by Napoleon's nephew after they won a revolution in 1848.,France was decided by Napoleon's neveu after they won a revolution in 1848.,2,2,1,True,0.32152438163757324,-1
Bars and restaurants are interesting places.,Bars and restaurants are interested places.,1,1,2,True,0.40904974937438965,-1
They were able to be home rather than having to worry about getting child care.,They were unable to be home rather than having to worry about getting child care.,2,2,0,True,0.30249547958374023,-1
Creating risk reduction efforts is common practice.,Creating risk reduction efforts is common convenient.,2,2,1,True,0.29025983810424805,-1
He ran like an athlete.,He ducked like an sports.,1,1,0,True,0.36047840118408203,-1
I found out about so many movies I had never heard of.,I found out about so dissimilar movies I had never heard of.,1,1,0,True,0.5795693397521973,-1
The United States has no power to use.,The United States has no capacity to accustomed.,0,0,1,True,0.6299364566802979,-1
Really? No kidding! ,Really? Inga kidding! ,2,2,0,True,0.3156297206878662,-1
The setting is better to visit at sundown or during low season.,The adjust is better to visit at sundown or during cheaper season.,2,2,1,True,0.7135491371154785,-1
Gingrich should not be in power.,Gingrich must not be in power.,1,1,0,True,0.46758437156677246,-1
The islands are part of France now instead of just colonies.,The islands are part of France now still of just colonies.,2,2,0,True,0.4405996799468994,-1
BLM's performance plans are visible online.,BLM's performance plans are conspicuous online.,2,2,1,True,0.4927999973297119,-1
