original,perturbed,True,Pred_original,Pred_perturbed,success,time,n_positions
it 's a charming and often affecting journey . ,󠄁󠄤󠆠i󠅌󠅟t 's a charming and often affecting journey . ,1,1,1,False,4.1040754318237305,5
unflinchingly bleak and desperate ,󠀢󠅦󠁀󠇨󠅸unflinchingly bleak and desperate ,0,0,0,False,3.1696770191192627,5
allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,󠀖󠅲󠆂a󠅨l󠆓lows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,1,1,1,False,8.808779001235962,5
"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ","󠇑the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ",1,1,0,True,1.7859086990356445,1
"it 's slow -- very , very slow . ","󠇊󠀮󠄚i󠅪󠁬t 's slow -- very , very slow . ",0,0,0,False,3.5663886070251465,5
"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ","󠇋although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ",1,1,0,True,1.6632740497589111,1
a sometimes tedious film . ,a 󠄟sometimes tedious film . ,0,0,1,True,0.47914743423461914,1
or doing last year 's taxes with your ex-wife . ,󠁀󠇔or doing last year 's taxes with your ex-wife . ,0,0,1,True,1.5329525470733643,2
you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,󠆒󠁄󠆩⁦y󠁭ou do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,1,1,1,False,8.602598905563354,5
"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","󠅝󠁑󠆟󠀼󠀏in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0,0,0,False,15.019986152648926,5
the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,󠆏󠆜󠄤󠆺t󠁓he mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,1,1,1,False,8.04374361038208,5
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","󠄉󠁌󠇑󠅇it󠄽 takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0,0,0,False,15.750859260559082,5
... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,󠁞󠇩󠇌󠅕󠅯... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,0,0,0,False,7.612850189208984,5
"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ","w󠀋e root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",1,1,0,True,1.4792017936706543,1
even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,e󠀈ven horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,0,0,1,True,2.0301339626312256,1
"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","󠆋󠄦󠀦a󠆀 󠆺gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ",1,1,1,False,9.436336517333984,5
the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,﻿󠆀󠅶󠄼󠇥the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,1,1,1,False,7.0697174072265625,5
"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ","󠅆󠀩󠅯󠄦󠆙audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ",1,1,1,False,18.168258905410767,5
... the movie is just a plain old monster . ,󠆢󠅈󠆞󠅀.󠅷.. the movie is just a plain old monster . ,0,0,0,False,3.8625197410583496,5
"in its best moments , resembles a bad high school production of grease , without benefit of song . ","󠀊󠀺󠁻󠁵󠄍in its best moments , resembles a bad high school production of grease , without benefit of song . ",0,0,0,False,7.946408033370972,5
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ","p󠁝umpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ",0,0,1,True,3.066751480102539,1
the iditarod lasts for days - this just felt like it did . ,,0,1,-1,False,-1.0,-1
holden caulfield did it better . ,,0,1,-1,False,-1.0,-1
"a delectable and intriguing thriller filled with surprises , read my lips is an original . ","󠀿󠆑󠄒󠁚󠆛a delectable and intriguing thriller filled with surprises , read my lips is an original . ",1,1,1,False,7.303966045379639,5
seldom has a movie so closely matched the spirit of a man and his work . ,󠀇󠀘󠀌󠁧󠅮seldom has a movie so closely matched the spirit of a man and his work . ,1,1,1,False,5.92145299911499,5
"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ","‬󠅿󠁋󠄺󠆪nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ",0,0,0,False,13.756534337997437,5
"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ","󠀙󠁾the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ",0,0,1,True,5.745472431182861,2
it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . ,󠄂󠄓󠆑󠁰󠄕it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . ,1,1,1,False,11.260812997817993,5
"it 's a cookie-cutter movie , a cut-and-paste job . ","󠁕󠇪󠀞󠄴it󠅒 's a cookie-cutter movie , a cut-and-paste job . ",0,0,0,False,5.0415003299713135,5
i had to look away - this was god awful . ,󠄕󠅗i had to look away - this was god awful . ,0,0,1,True,1.3052949905395508,2
"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ","󠁇󠀮󠄚󠁭t󠁽hanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ",1,1,1,False,14.513477563858032,5
"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ","󠀫󠅶󠅔.‌󠅘.. designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ",0,0,0,False,12.998043775558472,5
"a gorgeous , witty , seductive movie . ","󠅒󠇯󠄋󠁅󠀊a gorgeous , witty , seductive movie . ",1,1,1,False,3.6481854915618896,5
"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ","i󠀮f the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ",0,0,1,True,2.6321990489959717,1
"it does n't believe in itself , it has no sense of humor ... it 's just plain bored . ","󠆵i󠅂󠅰󠄓󠀥t does n't believe in itself , it has no sense of humor ... it 's just plain bored . ",0,0,0,False,7.1659815311431885,5
a sequence of ridiculous shoot - 'em - up scenes . ,a󠄼 sequence of ridiculous shoot - 'em - up scenes . ,0,0,1,True,0.7258749008178711,1
