#[Succeeded /Failed / Skipped / Total] 32 /9 / 9 / 50
#Total time: 550.7912294864655 seconds for 50 samples
original,perturbed,True,Pred_original,Pred_perturbed,success,time,n_positions
Christopher Reeve had an accident.,Christopher Reeve ha​d ‎an﻿ accident︃.‎‎︃,1,1,0,True,13.836382627487183,7
Bacteria is winning the war against antibiotics.,,0,1,-1,False,-1.0,-1
15 million tonnes of rubbish are produced daily in Cairo.,,1,0,-1,False,-1.0,-1
Pennsylvania has the biggest Amish community in the U.S.,Pennsylvania󠀜 has the bigges󠀜t A󠀜mish community in ︅the U.S.,1,1,0,True,21.387551307678223,4
Security forces were on high alert after a campaign marred by violence.,Security forces were on high alert after a campaign marred by viole‫nce.,0,0,1,True,1.997894287109375,1
The Israel-Egypt Peace Agreement was signed in 1979.,The Israel-Egypt Peace Agreement was signed in 1979.,0,0,1,True,2.4400291442871094,1
Spears is to divorce from Kevin Federline.,⁠Spears is to divorce from Kevin Fed‏erli󠁖ne.,0,0,1,True,15.135047912597656,4
Wales to host 2010 Ryder Cup.,Wales to host 2010 Ryder Cup.,0,0,1,True,2.210439920425415,1
Steve Jobs worked for Apple.,Steve Jobs worked for Ap‮ple.,0,0,1,True,1.7211723327636719,1
The Raisani tribe resides in Pakistan.,The Raisani tri󠅶be resi󠆾des in Pakistan.,0,0,1,True,4.527510404586792,2
Doctors Without Borders is an international aid organization.,Docto󠅾rs Without Borders is an international aid organizat󠁠ion.,0,0,1,True,4.5273730754852295,2
"In a bowl, whisk together the egg, sugar and vanilla until light in color.","In‫ a bowl, wh﻿﻿i﻿sk ​together ‪the️ 󠅢egg, sugar and vanilla until light in color.️󠅢",1,1,1,False,21.69702649116516,10
2.7 percent of the people infected with HIV live in Africa.,2.7 pe‍rcent of t󠄄he people infected with HIV live in​ ​Afric​󠄔a.​󠄔,1,1,0,True,23.277466535568237,10
"Jack Kevorkian is the real name of ""Dr. Death"".","Jack Kevorkian is the real name of ""D󠅃r. Death"".",0,0,1,True,3.0070865154266357,1
Procter and Gamble spends $1.8 billion for Research and Development.,Procter and Gamble spends $1.8 billion for Research and Develo󠅠pment.,0,0,1,True,2.5155982971191406,1
The U.S. military evacuated U.S. citizens.,The U.S. military evacuated U.S. citiz⁩ens.󠀖,1,1,0,True,4.323060512542725,2
Mice fed with red wine lived longer despite a fatty diet.,Mice fed with red wine lived longer despite a fatty diet.,1,1,0,True,1.6959924697875977,1
Charles de Gaulle died in 1970.,Charles de Gaulle died in 1970.,0,0,1,True,2.9773380756378174,1
France participates in Euro 2004.,France participates in Euro 20‬04.,0,0,1,True,2.2795941829681396,1
President Fujimori was re-elected in 1995.,President︃ Fujimori w‎󠅋as re-elected​ ​i󠁫n‍ 19​95.󠁖,1,1,1,False,41.540934324264526,10
"Hepburn's diamond and sapphire brooch fetched $120,000.","Hepburn's dia︁mond and sapphire brooch fetched $120,000.",0,0,1,True,2.615421772003174,1
Huckaby is accused of killing Sandra Cantu.,Huckaby is accused of kil︃ling Sandra Cantu.,0,0,1,True,4.955541610717773,1
Eljvir Duka comes from Albania.,Eljvir Duka comes from Alb‮ania.,0,0,1,True,5.7299206256866455,1
"""The Osbournes"" is the name of a reality show starring Ozzy Osbourne.","""The Osbournes"" is the name of a real󠆩ity show starring Ozzy Osbourne.",0,0,1,True,5.321489572525024,1
