#[Succeeded /Failed / Skipped / Total] 91 /4 / 5 / 100
#Total time: 112.3595495223999 seconds for 100 samples
original,perturbed,True,Pred_original,Pred_perturbed,success,time,n_positions
it 's a charming and often affecting journey . ,it 's a leggy and often plaguing journey . ,1,1,0,True,11.940869331359863,-1
unflinchingly bleak and desperate ,unflinchingly eerie and furious ,0,0,1,True,0.5812151432037354,-1
allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,authorizes ourselves to hope that nolan is poised to embark a major career as a commercial yet imaginary filmmaker . ,1,1,0,True,0.9647698402404785,-1
"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ","the acting , costumes , music , cinematography and sound are all breathless remitted the production 's austere locales . ",1,1,0,True,0.6955974102020264,-1
"it 's slow -- very , very slow . ","it 's slow -- perfectly , very lent . ",0,0,1,True,0.6689941883087158,-1
"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ","although laced with humor and a few fanciful touches , the film is a nonchalantly serious seems at young women . ",1,1,0,True,1.093113660812378,-1
a sometimes tedious film . ,a sometimes industrious film . ,0,0,1,True,0.4158172607421875,-1
or doing last year 's taxes with your ex-wife . ,or doing yesteryear year 's royalty with your ex-wife . ,0,0,1,True,0.6943244934082031,-1
you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,you do n't enjoy to know about music to concede the film 's easygoing amalgamated of comedy and romance . ,1,1,0,True,1.33036470413208,-1
"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","in exactly 89 minutes , most of which passed as delicately as if i 'd been sitting naked on an igloo , formulation 51 leaped from quirky to cured to utter turkey . ",0,0,1,True,1.3488047122955322,-1
the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,the hallucinatory executions of the produces continues the cine enshrined and keep the bystander stupefied . ,1,1,0,True,2.345210075378418,-1
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of nonchalance to residues the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0,0,1,True,0.7320637702941895,-1
... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,... the film endure from a rarity of humor ( something needed to balance out the violence ) ... ,0,0,1,True,0.9035797119140625,-1
"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ","we root for ( clara and paul ) , even like them , than perhaps it 's an emotion closer to pity . ",1,1,0,True,0.266826868057251,-1
even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie shortfall both thrills and humor . ,0,0,1,True,0.5204074382781982,-1
"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","a beaux , high-spirited singers from india that shockingly blends music , stripper , hymns , and most catastrophic . ",1,1,0,True,2.6371188163757324,-1
the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,the sentiments are raw and will befallen a effrontery with anyone who 's ever brought relatives trauma . ,1,1,0,True,1.0697832107543945,-1
"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ","audrey tatou has a knack for picking roles that prolong her outrageous amulets , and in this literate french derision , she 's as morning-glory exuberant as she was in amélie . ",1,1,0,True,1.5143423080444336,-1
... the movie is just a plain old monster . ,... the photographer is just a plains yesteryear beast . ,0,0,1,True,1.293877124786377,-1
"in its best moments , resembles a bad high school production of grease , without benefit of song . ","in its best moments , resembles a naughty high school yields of grease , without benefit of song . ",0,0,1,True,0.9461531639099121,-1
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ","pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an asymmetrical tone that you never know when humor ends and tragedy begins . ",0,0,1,True,0.4980623722076416,-1
the iditarod lasts for days - this just felt like it did . ,,0,1,-1,False,-1.0,-1
holden caulfield did it better . ,,0,1,-1,False,-1.0,-1
"a delectable and intriguing thriller filled with surprises , read my lips is an original . ","a perfumed and hallucinatory thriller filled with stupor , read my lips is an rudimentary . ",1,1,0,True,0.9451076984405518,-1
seldom has a movie so closely matched the spirit of a man and his work . ,seldom has a movie whereby closely contra the psychotropic of a man and his job . ,1,1,0,True,1.4446816444396973,-1
"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ","nicks , seemingly undiscovered what 's going to make people laugh , runs the gamut from yesteryear parody to raunchy sex gags to formula romantic comedy . ",0,0,1,True,0.6640286445617676,-1
"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ","the stepping shift between past and present , but the material link is too humble to anchor the emotional connections that purport to span a 125-year divide . ",0,0,1,True,1.1406967639923096,-1
it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . ,it 's an offbeat broached that pokes droll at the republic exercise while also consideration its principal for those who take part . ,1,1,0,True,1.9407870769500732,-1
"it 's a cookie-cutter movie , a cut-and-paste job . ","it 's a cookie-cutter scorsese , a cut-and-paste working . ",0,0,1,True,1.0156528949737549,-1
i had to look away - this was god awful . ,i had to admire away - this was goodness scary . ,0,0,1,True,1.1160082817077637,-1
"thanks to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most compelling variations on in the company of men . ","forgave to scott 's charismatic roger and eisenberg 's sweet nephew , roger dodger is one of the most unconvincing variations on in the company of men . ",1,1,0,True,0.9863300323486328,-1
"... designed to provide a mix of smiles and tears , `` crossroads '' instead provokes a handful of unintentional howlers and numerous yawns . ","... designed to provide a mix of smiles and tears , `` crossroads '' even provokes a handful of unintentional howlers and numerous giggles . ",0,0,1,True,0.994633674621582,-1
"a gorgeous , witty , seductive movie . ","a leggy , sardonic , leggy stills . ",1,1,0,True,1.3679580688476562,-1
"if the movie succeeds in instilling a wary sense of ` there but for the grace of god , ' it is far too self-conscious to draw you deeply into its world . ","if the filmmakers succeeds in instilling a wary sense of ` there but for the grace of goodness , ' it is acutely too self-conscious to draw you profoundly into its world . ",0,0,1,True,1.4534413814544678,-1
"it does n't believe in itself , it has no sense of humor ... it 's just plain bored . ","it desires n't presume in itself , it owns no regard of lighthearted ... it 's just unadulterated bothersome . ",0,0,0,False,1.5527780055999756,-1
a sequence of ridiculous shoot - 'em - up scenes . ,a sequence of comical shoot - 'em - up scenes . ,0,0,1,True,0.45947265625,-1
"the weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough . ","the weight of the chop , the unerring professionalism of the chilly production , and the craze embedded in the lurid topic tests suggestions enough . ",1,1,0,True,1.4068634510040283,-1
"( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is short on the thrills the oversize medium demands . ","( w ) hile long on amiable monkeys and worthy environmentalism , jane goodall 's wild chimpanzees is succinct on the thrills the oversize medium demands . ",0,0,1,True,0.29497575759887695,-1
"as surreal as a dream and as detailed as a photograph , as visually dexterous as it is at times imaginatively overwhelming . ","as surreal as a slumber and as prudence as a pictured , as aesthetically perceptive as it is at dated imaginatively grands . ",1,1,0,True,1.5363860130310059,-1
"escaping the studio , piccoli is warmly affecting and so is this adroitly minimalist movie . ","escaping the studio , piccoli is frankly afflicted and where is this adroitly minimalist filmmakers . ",1,1,0,True,1.5479838848114014,-1
"there 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate . ","there 's ... gargantuan energy from the tryout , a foreboding of playfulness and commotion that seems punctual . ",1,1,0,True,1.7174136638641357,-1
"this illuminating documentary transcends our preconceived vision of the holy land and its inhabitants , revealing the human complexities beneath . ","this didactic documentary overstepped our preconceived vision of the consecrated situ and its resident , revealing the human complexities beneath . ",1,1,0,True,1.282583236694336,-1
the subtle strength of `` elling '' is that it never loses touch with the reality of the grim situation . ,the subtle strenght of `` elling '' is that it never loss touch with the reality of the grim situation . ,1,1,0,True,0.4562971591949463,-1
holm ... embodies the character with an effortlessly regal charisma . ,holm ... implicates the character with an effortlessly royale fetish . ,1,1,0,True,0.7389748096466064,-1
"the title not only describes its main characters , but the lazy people behind the camera as well . ","the nom not only describes its main characters , but the unmotivated people behind the courtrooms as well . ",0,0,1,True,0.4130690097808838,-1
