original,perturbed,True,Pred_original,Pred_perturbed,success,time,n_positions
it 's a charming and often affecting journey . ,it 's a charming and often af󠄂fecting journey . ,1,1,0,True,2.194216012954712,2
unflinchingly bleak and desperate ,unflinchingly b﻿leak and desper󠁺ate ,0,0,1,True,1.8408212661743164,2
allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,al‮lows us to hope that nolan is poised to embark a major career as a commercial yet i󠆒nventive filmmaker . ,1,1,0,True,2.88771915435791,2
"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ","the acting , costumes , music , cinematography and sound are all as‍tounding given the production 's austere locales . ",1,1,0,True,1.4504954814910889,1
"it 's slow -- very , very slow . ","it 's sl󠄺ow -- very , very sl󠅽ow . ",0,0,1,True,1.9723799228668213,2
"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ","although laced with humor and a few fanciful touches , the film is a refre󠅢shingly serious look at young women . ",1,1,0,True,3.072986125946045,2
a sometimes tedious film . ,a sometimes te︊dious film . ,0,0,1,True,0.8118431568145752,1
or doing last year 's taxes with your ex-wife . ,or doing last year 's ta󠅋xes with y︊our ex-wife . ,0,0,1,True,2.148841381072998,2
you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,you do n't have to know about music to ap⁠preciate the film 's eas‏ygoing bl󠄜end of comedy and romance . ,1,1,0,True,4.687284231185913,3
"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","in exactly 89 m󠅠inutes , most of which passed a󠅾s slowly as if i 'd been sitting naked on an igloo , formula 51 san󠅅k from quirky to je​rky to u󠆾tter turkey . ",0,0,0,False,10.9952552318573,5
the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,the me󠄩smerizing performances of the leads keep the film grounded and keep the audience riveted . ,1,1,0,True,5.86784815788269,4
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of lazine︊ss to wa︎ste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0,0,1,True,4.179713726043701,2
... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,... the film su󠆟ffers from a lac󠆒k of humor ( something ne󠆠eded to balance out the violence ) ... ,0,0,1,True,4.2885541915893555,3
"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ","we root for ( clara and paul ) , even like them , thou‎gh perhaps it 's an emotion closer to pity . ",1,1,0,True,1.4922194480895996,1
even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lac‮ks both thrills and humor . ,0,0,1,True,1.5496110916137695,1
"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","a gorg󠁫eous , high-spirited musical from india that exq‮uisitely bl󠀜ends music , dance , song , and high drama . ",1,1,1,False,9.240127325057983,5
the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,the emotions are raw and will s‫trike a nerve with anyone who 's ever had family trauma . ,1,1,0,True,1.279709815979004,1
"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ","audrey tatou has a knac⁧k for picking roles that magnify her outrageous charm , and in this lite⁩rate french comedy , she 's as morning-glory exub󠄾erant as she was in amélie . ",1,1,0,True,9.338410139083862,4
... the movie is just a plain old monster . ,... the movie is jus‌t a plain old monst​er . ,0,0,1,True,2.059178113937378,2
"in its best moments , resembles a bad high school production of grease , without benefit of song . ","in its best moments , resembles a b󠆖ad high school production of grease , wit󠀣hout benefit of song . ",0,0,1,True,2.9414889812469482,2
