#[Succeeded /Failed / Skipped / Total] 53 /42 / 5 / 100
#Total time: 61.92892122268677 seconds for 100 samples
original,perturbed,True,Pred_original,Pred_perturbed,success,time,n_positions
it 's a charming and often affecting journey . ,it 's a charmiոg and often affecting travels . ,1,1,1,False,10.26940369606018,-1
unflinchingly bleak and desperate ,unflinchingly somber and desperate ,0,0,0,False,0.15915465354919434,-1
allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,allows nous to hope that nolan is poised to embark a major career as a commercial yet iոventive filmmaker . ,1,1,0,True,0.39533114433288574,-1
"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ","the acting , costumes , music , cinematography and sound are all asounding given the production 's austere locales . ",1,1,0,True,0.29628872871398926,-1
"it 's slow -- very , very slow . ","it 's slow -- very , very sⅼow . ",0,0,0,False,0.15489888191223145,-1
"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ","although laced with humor and a few fanciful touches , the film is a refreshiոgly serious lоok at young women . ",1,1,0,True,0.4537637233734131,-1
a sometimes tedious film . ,a sometimes pesky film . ,0,0,0,False,0.14351463317871094,-1
or doing last year 's taxes with your ex-wife . ,or doing last year 's royalty with your ex-wife . ,0,0,0,False,0.2339944839477539,-1
you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,you do n'𝚝 have to know about music to aрpreciate the film 's easygoing bleոd of comedian and romance . ,1,1,1,False,0.6547791957855225,-1
"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","in exactly 89 minu𝚝es , most of which passed as gently as if i 'd been sitting naked on an igloo , forms 51 saոk from quirky to cured to unmitigated turkey . ",0,0,1,True,1.009507656097412,-1
the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,the meѕmerizing perfoⲅmances of the conducts maintaining the film grounded and keep the audience entranced . ,1,1,1,False,0.7302360534667969,-1
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes a strange kind of laᴢiness to debris the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0,0,1,True,0.4542105197906494,-1
... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,... the film undergo from a laϲk of humor ( something necessary to balance out the violence ) ... ,0,0,1,True,0.5459179878234863,-1
"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ","we root for ( clara and paul ) , even like them , thoguh perhaps it 's an emotion closer to pity . ",1,1,0,True,0.25588130950927734,-1
even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lcaks both thrills and humor . ,0,0,1,True,0.2883305549621582,-1
"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","a gоrgeous , հigh-spirited music from india that exquistely blends music , danse , sonɡ , and high drama . ",1,1,1,False,0.936403751373291,-1
the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,the emo𝚝ions are raw and will st rike a nerve with anyone who 's ever had family trauma . ,1,1,0,True,0.364443302154541,-1
"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ","audrey tatou has a knac𝒌 for picking roles that ｍagnify her outrageous chɑrm , and in this illiteracy french charade , she 's as morning-glory exuberant as she was in amélie . ",1,1,0,True,0.8772950172424316,-1
... the movie is just a plain old monster . ,... the moive is just a plain olԁ monster . ,0,0,0,False,0.20035552978515625,-1
"in its best moments , resembles a bad high school production of grease , without benefit of song . ","in its best moments , resembles a naughty high school production of grease , sans benefit of song . ",0,0,1,True,0.3871126174926758,-1
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ","pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an unevеn tone that you never know when humor ends and tragedy begins . ",0,0,1,True,0.3090400695800781,-1
the iditarod lasts for days - this just felt like it did . ,,0,1,-1,False,-1.0,-1
holden caulfield did it better . ,,0,1,-1,False,-1.0,-1
"a delectable and intriguing thriller filled with surprises , read my lips is an original . ","a deleϲtable and iոtriguing thriller filled with surprises , readout my lips is an orіginal . ",1,1,1,False,0.7565531730651855,-1
seldom has a movie so closely matched the spirit of a man and his work . ,seldom has a movie so closely macthed the spirt of a man and his jobs . ,1,1,1,False,0.5365972518920898,-1
