original,perturbed,True,Pred_original,Pred_perturbed,success,time,n_positions
"As of that day, the new constitution heralding the Second Republic came into force.",,0,1,-1,False,-1.0,-1
"The most important tributaries in this area are the Ill below of Strasbourg, the Neckar in Mannheim and the Main across from Mainz.","󠀜󠇈T󠁢󠅾he most important tributaries in this area are the Ill below of Strasbourg, the Neckar in Mannheim and the Main across from Mainz.",1,1,0,True,10.469224452972412,4
In most provinces a second Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.,󠆙In most provinces a second Bachelor's Degree such as a Bachelor of Education is required to become a qualified teacher.,1,1,0,True,1.9531607627868652,1
"The Tayichi'ud enslaved Temüjin (reportedly with a cangue, a sort of portable stocks), but with the help of a sympathetic guard, the father of Chilaun (who later became a general of Genghis Khan), he was able to escape from the ger (yurt) in the middle of the night by hiding in a river crevice.[citation needed]","T󠆾he Tayichi'ud enslaved Temüjin (reportedly with a cangue, a sort of portable stocks), but with the help of a sympathetic guard, the father of Chilaun (who later became a general of Genghis Khan), he was able to escape from the ger (yurt) in the middle of the night by hiding in a river crevice.[citation needed]",0,0,1,True,8.88699460029602,1
"He paraphrased the Te Deum as ""Herr Gott, dich loben wir"" with a simplified form of the melody.",,1,0,-1,False,-1.0,-1
"For example, Joseph Haas was arrested for allegedly sending an email to the Lebanon, New Hampshire city councilors stating, ""Wise up or die.""","󠇋󠁁󠆹󠀄󠅓For example, Joseph Haas was arrested for allegedly sending an email to the Lebanon, New Hampshire city councilors stating, ""Wise up or die.""",1,1,1,False,14.002216815948486,5
"Founded in 1968 by the union of the Methodist Church (USA) and the Evangelical United Brethren Church, the UMC traces its roots back to the revival movement of John and Charles Wesley in England as well as the Great Awakening in the United States.",,1,0,-1,False,-1.0,-1
Southern California is also important to the world of yachting.,󠁵‍󠆸󠆮󠅠Southern California is also important to the world of yachting.,1,1,1,False,6.377527475357056,5
Temüjin's reputation also became widespread after his escape from the Tayichi'ud.,󠀛󠀖T󠅴󠄶󠁅emüjin's reputation also became widespread after his escape from the Tayichi'ud.,1,1,1,False,8.015703678131104,5
"These branch through the mesoglea to the most active parts of the animal: the mouth and pharynx; the roots of the tentacles, if present; all along the underside of each comb row; and four branches round the sensory complex at the far end from the mouth – two of these four branches terminate in anal pores.","󠆼󠄟󠁰󠁹󠅷These branch through the mesoglea to the most active parts of the animal: the mouth and pharynx; the roots of the tentacles, if present; all along the underside of each comb row; and four branches round the sensory complex at the far end from the mouth – two of these four branches terminate in anal pores.",0,0,0,False,45.862303495407104,5
"Brownlee argues, ""Bringing in deterrence at the level of justification detracts from the law’s engagement in a moral dialogue with the offender as a rational person because it focuses attention on the threat of punishment and not the moral reasons to follow this law.""","󠄣󠁿󠅥󠅝󠅻Brownlee argues, ""Bringing in deterrence at the level of justification detracts from the law’s engagement in a moral dialogue with the offender as a rational person because it focuses attention on the threat of punishment and not the moral reasons to follow this law.""",1,1,1,False,36.42183518409729,5
"The Scotland Act 1998, which was passed by the Parliament of the United Kingdom and given royal assent by Queen Elizabeth II on 19 November 1998, governs the functions and role of the Scottish Parliament and delimits its legislative competence.","󠇊󠆱󠀒󠅃The Scotland Act 1998, which was passed by the Parliament of the United Kingdom and given royal assent by Queen Elizabeth II on 19 November 1998, governs the functions and role of the Scottish Parliament and delimits its legislative competence.",0,0,0,False,30.635963916778564,5
Hypersensitivity is an immune response that damages the body's own tissues.,󠅎‫󠅛󠄯Hy󠄙persensitivity is an immune response that damages the body's own tissues.,0,0,0,False,7.558627128601074,5
the Polish government-in-exile in London gave orders to the underground Home Army (AK) to try to seize control of Warsaw from the Germans before the Red Army arrived.,󠇟󠅊󠄰t󠆓󠄸he Polish government-in-exile in London gave orders to the underground Home Army (AK) to try to seize control of Warsaw from the Germans before the Red Army arrived.,1,1,1,False,17.46675443649292,5
The theater was built in 1939 and is at Olive and Wishon Avenues in the heart of the Tower District.,󠄱The theater was built in 1939 and is at Olive and Wishon Avenues in the heart of the Tower District.,1,1,0,True,1.6258938312530518,1
"The largest and southern main branch begins as Waal and continues as Boven Merwede (""Upper Merwede""), Beneden Merwede (""Lower Merwede""), Noord River (""North River""), Nieuwe Maas (""New Meuse""), Het Scheur (""the Rip"") and Nieuwe Waterweg (""New Waterway"").","󠄥󠆭󠁓󠇂󠇐The largest and southern main branch begins as Waal and continues as Boven Merwede (""Upper Merwede""), Beneden Merwede (""Lower Merwede""), Noord River (""North River""), Nieuwe Maas (""New Meuse""), Het Scheur (""the Rip"") and Nieuwe Waterweg (""New Waterway"").",0,0,1,True,34.36829590797424,5
"Other institutions for higher education include the Medical University of Warsaw, the largest medical school in Poland and one of the most prestigious, the National Defence University, highest military academic institution in Poland, the Fryderyk Chopin University of Music the oldest and largest music school in Poland, and one of the largest in Europe, the Warsaw School of Economics, the oldest and most renowned economic university in the country, and the Warsaw University of Life Sciences the largest agricultural university founded in 1818.","󠄞󠁍󠇘O⁠ther institutions for higher education include the Medical University of Warsaw, the largest medical school in Poland and one of the most prestigious, the National Defence University, highest military academic institution in Poland, the Fryderyk Chopin University of Music the oldest and largest music school in Poland, and one of the largest in Europe, the Warsaw School of Economics, the oldest and most renowned economic university in the country, and the Warsaw University of Life Sciences the largest agricultural university founded in 1818.",0,0,0,False,123.7928569316864,5
"More than 50% of this area is sown for wheat, 33% for barley and 7% for oats.","󠀏M󠆞󠆈󠄖o󠆺re than 50% of this area is sown for wheat, 33% for barley and 7% for oats.",0,0,0,False,7.2863240242004395,5
"He lit electric lamps wirelessly at both locations, demonstrating the potential of wireless power transmission.","󠄯󠀯󠅉󠀩H󠀝e lit electric lamps wirelessly at both locations, demonstrating the potential of wireless power transmission.",0,0,0,False,9.949618101119995,5
This World's Fair devoted a building to electrical exhibits.,󠆐T󠀟󠆂󠀘h󠅽is World's Fair devoted a building to electrical exhibits.,1,1,1,False,5.5187013149261475,5
