#[Succeeded /Failed / Skipped / Total] 26 /2 / 2 / 30
#Total time: 604.6506681442261 seconds for 30 samples
original,perturbed,True,Pred_original,Pred_perturbed,success,time,n_positions
it 's a charming and often affecting journey . ,it‌‌ 's a c​harm‌​ing an​‍d often af‍fecting‍‍ journey . ,1,1,0,True,23.244670867919922,10
unflinchingly bleak and desperate ,unfl‍inchi‌ngl‍y ​bl‍eak and​​‌ de‌sper‍ate ,0,0,1,True,22.659281015396118,10
allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,allows‌ us to hope that nolan is ​poi‌sed to ‍e‌mb‌a‍rk a major c‌areer as a commercial yet inv‍enti‍ve filmmaker . ,1,1,0,True,25.78330707550049,10
"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ","t​he acting , costumes ‍, ‌music , c‌inematog​raphy and sou‌nd are all ​asto‌unding given the produc​tion‌ 's austere locales . ",1,1,0,True,25.440748691558838,10
"it 's slow -- very , very slow . ","i​t 's ​s‍‍l‌ow -- v‍ery , ver​y s‌low​ . ",0,0,1,True,21.968306064605713,10
"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ","although laced with humor and a few fanciful touches , t‍‍​he film is a ​ref‍re​shin​gly ser‌ious ‌look at you‍ng women . ",1,1,0,True,21.790112257003784,10
a sometimes tedious film . ,a so‌met‍imes ted​​‍‍iou​s film​ . ,0,0,1,True,18.50579595565796,10
or doing last year 's taxes with your ex-wife . ,or doing l‍ast‌​ ye​ar 's t‍axes wit​‌‍h your e‍x​-wife . ,0,0,1,True,18.588196277618408,10
you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,you do n't hav​e to k‍​now about music to appreciat‌e the fi​lm 's ea‍sygoing bl‌end of ‌comedy a‌nd r​omance . ,1,1,0,True,18.79174542427063,10
"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","in exactly 89 minutes , most of which passed‌ a​s slowly as if i 'd been sittin‍g naked on an igloo‍ ,‍ formula 51 s‌ank from quirky to‌ jer​ky to utt‍er ​turkey . ",0,0,0,False,18.90948462486267,10
the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,the mesme‌‌‌rizing p​erformances of the leads k​eep the fil​m grounded an‌d kee​‍p the audience ​riveted . ,1,1,0,True,18.78402018547058,10
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","it takes‍ a st​range‌ kind of ​laziness to was‍te the talents of robert forster‌‍ , anne meara , eu​gene levy , and reginald veljohnson all in the​ same mov​ie . ",0,0,1,True,18.98907446861267,10
... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,... the film suffe​rs ​from ‌a la‌ck ‌of humor ( so‌mething n‌eeded to balan​ce​ ‍out the violence ) ... ,0,0,1,True,19.049400806427002,10
"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ","we ‌root for ( clara and pau​l ) , even like‌ t‌hem , though ​perh‍ap‌​s it ‍'s an emotion‍ closer to pity . ",1,1,0,True,18.991032361984253,10
even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,even horror fans will m​ost likel​y not find what they '‌re se‍eking with ‌trouble every day ; ​the mov​i​e ‌lack‍s both thrills and humor . ,0,0,1,True,18.744147777557373,10
"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","a go​rgeous , high-sp​i​rited musical from india that ​exqui‍site​ly ble‍nds music , da​nce , song , an‍d h​igh drama . ",1,1,1,False,18.766011953353882,10
the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,the e​motions are​ ra‍w‌ and will s‍trik​e a nerve with anyone w​ho ​'s eve‍r ​had family trauma . ,1,1,0,True,18.701709508895874,10
"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ","audrey‍ tatou has a knack for‌ picking roles that magnify her out​rageous ch​ar​‌​m , and‌ in this literate fr​ench comedy , she 's as morning-glory exubera‌nt as she was in amélie . ",1,1,0,True,18.661744117736816,10
... the movie is just a plain old monster . ,​...‌ the movie ‍‌is j​ust ‍a​ pl​ain old​ mons​ter . ,0,0,1,True,18.496211528778076,10
"in its best moments , resembles a bad high school production of grease , without benefit of song . ","in its best ‌moments , ‍resem‍b​​les a ba‌d hig‍h school production of g‍rease , without ​‌benefit of song . ",0,0,1,True,19.7374529838562,10
"pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins . ","pumpkin takes an admirable ‌look at the hypocr‍isy of political correctne​ss , bu‍t it does s​o ​with such an ‌un​even tone that you never know wh​en ‍humor ends and tragedy begins . ",0,0,1,True,21.932823419570923,10
the iditarod lasts for days - this just felt like it did . ,,0,1,-1,False,-1.0,-1
holden caulfield did it better . ,,0,1,-1,False,-1.0,-1
"a delectable and intriguing thriller filled with surprises , read my lips is an original . ","a d‍‍electable an‍d intr‌iguing thrille‍r filled ​‌with surpr‌ises , ‍read my lips is a​n original . ",1,1,0,True,23.433960676193237,10
seldom has a movie so closely matched the spirit of a man and his work . ,seldo​m has a movie so c‍​losely matche‌d t‌he spir​it of ​a​ m​an and his wo‌rk . ,1,1,0,True,23.195189476013184,10
"nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy . ","nicks ‌, ‍se‌emingly ​uncertain what 's goin‍g to make people laugh , runs the gamut from stal‌e pa‌rody to raunchy ​sex gags to formula​ romantic comedy .‍ ",0,0,1,True,23.562763929367065,10
"the action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide . ","the action switches betw​een past ‍and pr‌esent‍ ​, but the material link is t‍oo te‌nuous to anchor the emotional connecti​ons that purport to span a ​125-year divide . ",0,0,1,True,23.646875619888306,10
it 's an offbeat treat that pokes fun at the democratic exercise while also examining its significance for those who take part . ,‍it ​'s an offbea​t t​reat that​ pokes fun at ​‍the democratic exercise while als‍o examin​ing its significance for those who ​take part . ,1,1,0,True,25.55602765083313,10
"it 's a cookie-cutter movie , a cut-and-paste job . ","it 's ‌a coo‌kie-‌cutter movie​ , a cu​t-​and-p‌a‌ste‌ job . ",0,0,1,True,29.722189903259277,10
i had to look away - this was god awful . ,i had ‍to look aw​ay -‍ th‌is ‍‌was god ‌‌awfu​l . ,0,0,1,True,28.336422204971313,10
