#[Succeeded /Failed / Skipped / Total] 6 /14 / 0 / 20
#Total time: 284.23624992370605 seconds for 20 samples
original,perturbed,True,Pred_original,Pred_perturbed,success,time,n_positions
it 's a charming and often affecting journey . ,󠁀⁦󠅇󠇣󠀓󠆴󠁹󠄺󠄯i󠄸t 's a charming and often affecting journey . ,1,1,1,False,9.638856172561646,10
unflinchingly bleak and desperate ,󠅔󠄳󠆶󠁅󠆁󠆲󠅖󠆁u󠀚󠁇nflinchingly bleak and desperate ,0,0,0,False,8.242705345153809,10
allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,󠀷󠀚󠄲󠆎󠇊󠀉󠅧󠄬󠇬a󠆜llows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,1,1,1,False,20.066550970077515,10
"the acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ","th󠆌e acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales . ",1,1,0,True,1.8033521175384521,1
"it 's slow -- very , very slow . ","‍󠄎󠇂󠅀󠆷​󠄬︊󠆟it󠄽 's slow -- very , very slow . ",0,0,0,False,8.207229614257812,10
"although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ","󠁂although laced with humor and a few fanciful touches , the film is a refreshingly serious look at young women . ",1,1,0,True,1.6713192462921143,1
a sometimes tedious film . ,a󠁈 sometimes tedious film . ,0,0,1,True,0.4416377544403076,1
or doing last year 's taxes with your ex-wife . ,​󠅎︃󠀂or doing last year 's taxes with your ex-wife . ,0,0,1,True,3.0546886920928955,4
you do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,󠁇󠄮‪󠆒󠄚󠆙󠄩󠄚󠆫y󠅪ou do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance . ,1,1,1,False,19.48135733604431,10
"in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ","󠀉󠄧󠆥︍󠄔󠁢󠅪󠆷󠄈i󠅎n exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 sank from quirky to jerky to utter turkey . ",0,0,0,False,33.933597803115845,10
the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,󠅴󠄨󠀠󠁕󠁠󠁶󠅎󠀞󠁂󠇅the mesmerizing performances of the leads keep the film grounded and keep the audience riveted . ,1,1,1,False,17.725421667099,10
"it takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ","󠁖󠄌󠅠󠆐󠀚󠇗󠅭i󠅊󠅮󠆲t takes a strange kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same movie . ",0,0,0,False,33.90267038345337,10
... the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,󠁼︇󠅸󠀦󠅟󠅁󠀋󠀛󠄵.󠄭.. the film suffers from a lack of humor ( something needed to balance out the violence ) ... ,0,0,0,False,17.406718492507935,10
"we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ","󠁐we root for ( clara and paul ) , even like them , though perhaps it 's an emotion closer to pity . ",1,1,0,True,1.4682064056396484,1
even horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,e󠅂ven horror fans will most likely not find what they 're seeking with trouble every day ; the movie lacks both thrills and humor . ,0,0,1,True,2.010700225830078,1
"a gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ","󠅈󠇏󠁹󠁶󠅃󠇚󠄂󠄰a󠄹︇ gorgeous , high-spirited musical from india that exquisitely blends music , dance , song , and high drama . ",1,1,1,False,20.78122043609619,10
the emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,󠁈󠅜󠄈󠆄󠀜󠄾󠆐󠄑t󠅐󠅲he emotions are raw and will strike a nerve with anyone who 's ever had family trauma . ,1,1,1,False,16.432490348815918,10
"audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ","󠇑󠀩󠁡﻿󠁱󠆁󠆮󠁖󠆉󠇮audrey tatou has a knack for picking roles that magnify her outrageous charm , and in this literate french comedy , she 's as morning-glory exuberant as she was in amélie . ",1,1,1,False,39.93291902542114,10
... the movie is just a plain old monster . ,󠀛﻿󠆕‭󠅸︁.󠄿󠇜󠅛󠄭.. the movie is just a plain old monster . ,0,0,0,False,9.399211883544922,10
"in its best moments , resembles a bad high school production of grease , without benefit of song . ","󠄶󠅺󠄣󠁳i󠅰󠇉󠄃󠁚󠄶n󠆛 its best moments , resembles a bad high school production of grease , without benefit of song . ",0,0,0,False,18.172042846679688,10
